no,homo_HIL,thickness_HIL,lumo_HTL1,homo_HTL1,thickness_HTL1,lumo_HTL2,homo_HTL2,thickness_HTL2,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,lumo_EML,homo_EML,triplet_HOST,thickness_EML,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,lumo_ETL1,homo_ETL1,thickness_ETL1,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_workfunction,thickness_cathode1,cd/A
128,4.7,0,2,5.6,50,2.4,5.9,10,2.4,5.9,0,60,3,2.3,5.8,3.1,30,3,5.7,2.7,6,2.7,45,2.5,6.5,0,2.5,6.5,45,3.5,0.9,47.3
129,4.7,0,2,5.6,50,2.4,5.9,10,2.4,5.9,0,60,3,2.4,5.9,2.9,30,3,5.7,2.7,12,2.7,45,2.5,6.5,0,2.5,6.5,45,3.5,0.9,55.4
130,4.7,0,2.5,5.2,40,2.4,5.9,15,2.4,5.9,0,55,2.9,2.3,6.22,2.92,25,3,5.7,2.7,8,2.6,40,3.5,7,0,3.5,7,40,3.5,1,10.5
131,4.7,0,2.5,5.2,40,2.4,5.9,15,2.4,5.9,0,55,2.9,2.21,6.13,2.95,25,3,5.7,2.7,8,2.6,40,3.5,7,0,3.5,7,40,3.5,1,11
132,4.7,0,2.5,5.2,40,2.4,5.9,15,2.4,5.9,0,55,2.9,2.17,6.09,2.9,25,3,5.7,2.7,8,2.6,40,3.5,7,0,3.5,7,40,3.5,1,10
133,4.7,0,2.5,5.2,40,2.4,5.9,15,2.4,5.9,0,55,2.9,2.15,6.07,2.96,25,3,5.7,2.7,8,2.6,40,3.5,7,0,3.5,7,40,3.5,1,12
134,5.2,60,2,5.8,20,2.4,5.9,10,2.4,5.9,0,30,3,2.88,6.13,2.91,25,2.21,4.95,2.7,10,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1.5,28.24
135,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.51,6.1,3.02,25,2.21,4.95,2.7,10,3.36,35,2.5,6.8,5,2.8,6.2,30,3.5,1.5,17.04
136,4.7,0,2,5.5,30,2.4,5.9,10,2.4,5.9,0,40,3,2.5,6.2,3.2,30,2.56,6.24,2.9,10,2.6,30,2.8,6.2,0,2.8,6.2,30,3.5,1,13.61
137,4.7,0,2,5.5,30,2.4,5.9,10,2.4,5.9,0,40,3,2.5,6.2,3.2,30,2.57,6.27,2.9,10,2.6,30,2.8,6.2,0,2.8,6.2,30,3.5,1,11.29
138,5.3,5,2.5,5.2,70,2.4,5.7,5,2.4,5.7,0,75,2.82,1.95,5.61,3.01,10,3,5.7,2.7,15,2.75,35,2.73,6.68,0,2.73,6.68,35,2.2,2,38.8
139,5.3,5,2.5,5.2,70,2.4,5.7,5,2.4,5.7,0,75,2.82,2.12,5.47,2.93,10,3,5.7,2.7,15,2.75,35,2.73,6.68,0,2.73,6.68,35,2.2,2,25
140,6.26,40,2.4,6.1,15,2.4,6.1,0,2.4,6.1,0,15,2.8,2.4,7.5,2.8,30,3,5.7,2.7,10,2.99,70,3.47,7.5,20,3.47,7.5,50,4.28,0,63.65
141,6.26,40,2.4,6.1,15,2.4,6.1,0,2.4,6.1,0,15,2.8,2.4,7.5,2.8,30,3,5.7,2.7,10,2.99,60,3.47,7.5,20,3.47,7.5,40,4.28,0,55.23
142,6.26,40,2.4,6.1,15,2.4,6.1,0,2.4,6.1,0,15,2.8,2.4,7.5,2.8,30,3,5.7,2.7,10,2.99,80,3.47,7.5,20,3.47,7.5,60,4.28,0,58.43
143,6.26,40,2.4,6.1,15,2.4,6.1,0,2.4,6.1,0,15,2.8,2.4,7.5,2.8,30,3,5.7,2.7,10,2.99,90,3.47,7.5,20,3.47,7.5,70,4.28,0,57.04
144,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,3.16,7.46,2.73,20,3,5.7,2.7,15,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,2,27.7
145,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,3.23,7.53,2.76,20,3,5.7,2.7,15,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,2,26.2
146,6.1,1,2.26,5.7,40,2.26,5.7,0,2.26,5.7,0,40,2.94,2.26,6.79,2.94,30,3.1,5.86,2.72,10,3.4,35,2.52,6.79,0,2.52,6.79,35,3.5,1,38.66
147,6.1,1,2.26,5.7,40,2.26,5.7,0,2.26,5.7,0,40,2.94,2.26,6.79,2.94,30,3.14,5.88,2.72,10,3.4,35,2.52,6.79,0,2.52,6.79,35,3.5,1,31.63
148,6.1,1,2.26,5.7,40,2.26,5.7,0,2.26,5.7,0,40,2.94,2.26,6.79,2.94,30,3.1,5.86,2.72,10,3.4,35,2.52,6.79,0,2.52,6.79,35,3.5,1,35.31
149,6.1,1,2.26,5.7,40,2.26,5.7,0,2.26,5.7,0,40,2.94,2.26,6.79,2.94,30,3.14,5.88,2.72,10,3.4,35,2.52,6.79,0,2.52,6.79,35,3.5,1,24.42
150,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.88,6.06,2.76,25,3,5.7,2.7,10,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,34.23
151,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.88,6.06,2.76,25,3,5.7,2.7,5,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,31.68
152,5.2,60,2,5.5,20,2.4,5.9,10,2.4,5.9,0,30,3,2.88,6.06,2.76,25,3,5.7,2.7,3,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,26.48
