no,homo_HIL,thickness_HIL,lumo_HTL1,homo_HTL1,thickness_HTL1,lumo_HTL2,homo_HTL2,thickness_HTL2,lumo_HTL3,homo_HTL3,thickness_HTL3,total_HTL_thickness,triplet_HTL,lumo_EML,homo_EML,triplet_HOST,thickness_EML,lumo_dopant,homo_dopant,triplet_dopant,dopant_percentage,triplet_ETL,total_ETL_thickness,lumo_ETL1,homo_ETL1,thickness_ETL1,lumo_ETL2,homo_ETL2,thickness_ETL2,cathode_workfunction,thickness_cathode1,cd/A
210,5.3,10,2.5,5.2,70,2.4,5.9,5,2.4,5.9,0,75,3,2.38,6.16,2.87,40,3,5.7,2.7,7,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,30.1
211,5.2,30,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.3,6.5,2.7,70,3,5.7,2.7,10,2.9,5,2.57,6.17,0,2.57,6.17,5,3.5,1,13
212,5.2,30,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.3,6.5,2.7,70,3,5.7,2.7,10,2.9,15,2.57,6.17,0,2.57,6.17,15,3.5,1,30
213,5.2,30,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.3,6.5,2.7,70,3,5.7,2.7,10,2.9,30,2.57,6.17,0,2.57,6.17,30,3.5,1,34
214,5.2,30,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.3,6.5,2.7,70,3,5.7,2.7,10,0,0,,,0,,,0,3.5,1,16
215,5.2,30,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.3,6.5,2.7,70,3,5.7,2.7,10,2.9,15,2.57,6.17,0,2.57,6.17,15,3.5,1,30
216,5.2,30,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.3,6.5,2.7,70,3,5.7,2.7,10,2.81,15,2.37,6.16,0,2.37,6.16,15,3.5,1,27
217,5.2,30,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.3,6.5,2.7,70,3,5.7,2.7,10,2.53,15,2.7,6.32,0,2.7,6.32,15,3.5,1,30
218,4.7,0,2,5.5,75,2,5.5,0,2,5.5,0,75,2.87,2.11,5.6,2.92,15,3,5.7,2.7,3,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1.5,38
219,4.7,0,2,5.5,75,2,5.5,0,2,5.5,0,75,2.87,2.21,5.73,2.92,15,3,5.7,2.7,3,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1.5,45
220,4.7,0,2,5.5,45,2.4,5.9,10,2.4,5.9,0,55,3,2.36,6.12,2.89,35,3,5.7,2.7,12,2.7,55,2.5,6.5,0,2.5,6.5,55,3.5,0.9,53
221,5.3,1,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,1.84,5.24,2.93,15,3.1,6.1,2.72,10,2.78,40,2.45,6.4,0,2.45,6.4,40,3.5,1,28
222,5.3,1,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,2.5,6.1,2.9,15,3.1,6.1,2.72,10,2.78,40,2.45,6.4,0,2.45,6.4,40,3.5,1,23
223,9.5,60,2.5,5.2,30,2.5,5.2,0,2.5,5.2,0,30,2.3,2.5,6.1,2.9,20,3,5.7,2.7,10,2.9,25,2.5,6.1,5,2.7,6.3,20,3.5,1,6.5
224,9.5,60,2.5,5.2,30,2.5,5.2,0,2.5,5.2,0,30,2.3,2.5,6.1,2.9,20,3,5.7,2.7,10,2.9,25,2.5,6.1,5,3,5.7,20,3.5,1,1
225,9.5,60,2.5,5.2,30,2.5,5.2,0,2.5,5.2,0,30,2.3,2.5,6.1,2.9,20,3,5.7,2.7,10,2.9,25,2.5,6.1,5,3,6.4,20,3.5,1,1.2
226,9.5,60,2.5,5.2,30,2.5,5.2,0,2.5,5.2,0,30,2.3,2.5,6.1,2.9,20,3,5.7,2.7,10,2.9,25,2.5,6.1,5,2.8,6.2,20,3.5,1,2.5
227,5.2,30,2.5,5.2,15,2.4,5.9,10,2.4,5.9,0,25,2.9,2.5,6.1,2.9,25,3,5.7,2.7,3,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,33.55
228,5.2,30,2.5,5.2,15,2.55,5.7,10,2.55,5.7,0,25,2.67,2.5,6.1,2.9,25,3,5.7,2.7,3,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,36.86
229,5.2,30,2.5,5.2,15,2,5.5,10,2,5.5,0,25,2.87,2.5,6.1,2.9,25,3,5.7,2.7,3,3.36,35,2.5,6.8,0,2.5,6.8,35,3.5,1,20.7
230,5.2,35,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.4,5.3,2.75,60,3,5.7,2.7,8,2.7,40,2.7,6.3,0,2.7,6.3,40,3.5,1,34.8
231,5.2,35,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.4,5.3,2.75,60,3,5.7,2.7,8,2.7,40,2.7,6.3,0,2.7,6.3,40,3.5,1,16.9
232,5.2,35,2.4,5.3,20,2.4,5.3,0,2.4,5.3,0,20,2.75,2.4,5.3,2.75,60,3,5.7,2.7,8,2.75,80,2.4,5.3,0,2.4,5.3,80,3.5,1,17
233,5.2,35,2.4,5.3,40,2.4,5.3,0,2.4,5.3,0,40,2.75,2.4,5.3,2.75,60,3,5.7,2.7,8,2.75,60,2.4,5.3,0,2.4,5.3,60,3.5,1,11.7
234,5.2,35,2.4,5.3,60,2.4,5.3,0,2.4,5.3,0,60,2.75,2.4,5.3,2.75,60,3,5.7,2.7,8,2.75,40,2.4,5.3,0,2.4,5.3,40,3.5,1,6.2
235,5.2,35,2.4,5.3,80,2.4,5.3,0,2.4,5.3,0,80,2.75,2.4,5.3,2.75,60,3,5.7,2.7,8,2.75,20,2.4,5.3,0,2.4,5.3,20,3.5,1,3.6
236,5.2,35,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.4,5.3,2.75,100,3,5.7,2.7,8,0,0,,,0,,,0,3.5,1,42.1
237,5.2,35,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.5,6.1,2.9,100,3,5.7,2.7,8,0,0,,,0,,,0,3.5,1,20.1
238,5.2,30,1.75,5.22,40,1.75,5.22,0,1.75,5.22,0,40,2.87,2.2,5.62,2.72,30,3,5.7,2.7,12,2.7,30,2.7,6.3,0,2.7,6.3,30,3.5,1,21.44
239,5.2,30,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,2.36,5.8,2.73,30,3,5.7,2.7,12,2.7,30,2.7,6.3,0,2.7,6.3,30,3.5,1,23.43
240,5.3,1,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,1.84,5.24,2.93,15,3.1,6.1,2.72,10,2.78,40,2.45,6.4,0,2.45,6.4,40,3.5,1,31
241,5.3,1,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,2.5,6.1,2.9,15,3.1,6.1,2.72,10,2.78,40,2.45,6.4,0,2.45,6.4,40,3.5,1,22
242,5.3,1,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,1.84,5.24,2.93,15,3.1,6.1,2.72,10,2.6,40,2.8,6.2,0,2.8,6.2,40,3.5,1,10.42
243,5.3,1,2,5.5,60,2,5.5,0,2,5.5,0,60,2.87,1.84,5.24,2.93,15,3.1,6.1,2.72,10,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,17.3
244,5.3,10,2,5.5,70,2,5.5,0,2,5.5,0,70,2.87,2.5,6.1,2.9,20,3,5.7,2.7,10,2.95,35,3.26,6.4,0,3.26,6.4,35,3.5,1,5
245,5.3,10,2,5.5,70,2,5.5,0,2,5.5,0,70,2.87,2.5,6.1,2.9,20,3,5.7,2.7,10,3,35,3.34,6.64,0,3.34,6.64,35,3.5,1,21.4
246,5.3,10,2,5.5,70,2,5.5,0,2,5.5,0,70,2.87,2.5,6.1,2.9,20,3,5.7,2.7,10,2.95,35,3.46,6.64,0,3.46,6.64,35,3.5,1,38.3
247,5.3,10,2,5.5,70,2,5.5,0,2,5.5,0,70,2.87,2.5,6.1,2.9,20,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,24.6
248,5.2,30,2.5,5.2,20,2.4,5.7,5,2.4,5.7,0,25,2.82,2.3,6.77,2.82,25,3,5.7,2.7,10,2.82,50,2.3,6.77,0,2.3,6.77,50,3.5,0.5,21.35
249,5.2,30,2.5,5.2,20,2.4,5.7,5,2.4,5.7,0,25,2.82,2.33,6.67,2.8,25,3,5.7,2.7,10,2.8,50,2.33,6.67,0,2.33,6.67,50,3.5,0.5,19.77
250,5.2,30,2.5,5.2,20,2.4,5.7,5,2.4,5.7,0,25,2.82,2.35,6.82,2.79,25,3,5.7,2.7,10,2.79,50,2.35,6.82,0,2.35,6.82,50,3.5,0.5,7.69
251,5.3,5,2.5,5.2,50,2.4,5.7,5,2.4,5.7,0,55,2.82,2.4,5.7,2.82,20,3,5.7,2.7,15,2.6,30,2.8,6.2,0,2.8,6.2,30,3.5,1,15
252,5.3,5,2.5,5.2,50,2.4,5.7,5,2.4,5.7,0,55,2.82,2.5,6.1,2.9,20,3,5.7,2.7,15,2.6,30,2.8,6.2,0,2.8,6.2,30,3.5,1,9
253,5.2,30,2.5,5.2,20,2.4,5.7,5,2.4,5.7,0,25,2.82,2.12,5.69,2.82,25,3,5.7,2.7,10,2.7,50,2.5,6.5,5,2.7,6.3,45,3.5,0.5,13.99
254,5.2,30,2.5,5.2,20,2.4,5.7,5,2.4,5.7,0,25,2.82,2.15,5.68,2.75,25,3,5.7,2.7,10,2.7,50,2.5,6.5,5,2.7,6.3,45,3.5,0.5,15.98
255,9.5,10,2,5.5,85,2,5.5,0,2,5.5,0,85,2.87,2.5,6.1,2.9,30,3,5.7,2.7,8,2.85,30,2.81,6.75,5,2.81,6.75,25,3.5,1,22.5
256,5.3,5,2.5,5.2,25,2.4,5.9,10,2.4,5.9,0,35,3,2.46,5.7,2.94,20,3,5.7,2.7,9,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,41.7
257,5.3,5,2.5,5.2,25,2.4,5.9,10,2.4,5.9,0,35,3,2.67,5.92,2.93,20,3,5.7,2.7,9,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,40.8
258,5.3,5,2.5,5.2,25,2.4,5.9,10,2.4,5.9,0,35,3,2.39,5.72,2.96,20,3,5.7,2.7,9,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,42.6
259,5.3,5,2.5,5.2,25,2.4,5.9,10,2.4,5.9,0,35,3,2.45,5.73,2.78,20,3,5.7,2.7,9,2.75,40,2.73,6.68,0,2.73,6.68,40,3.5,1,34.9
260,9.5,5,2,5.5,30,2,5.5,0,2,5.5,0,30,2.87,2.6,6.1,2.71,20,3,5.7,2.7,12,2.83,50,2.81,7.04,0,2.81,7.04,50,3.5,1,20.8
261,9.5,5,2,5.5,30,2,5.5,0,2,5.5,0,30,2.87,2.6,6.1,2.71,20,3,5.7,2.7,12,2.82,50,2.82,6.67,0,2.82,6.67,50,3.5,1,18.9
262,9.5,5,2,5.5,30,2,5.5,0,2,5.5,0,30,2.87,2.6,6.1,2.71,20,3,5.7,2.7,12,2.43,50,2.43,6.41,0,2.43,6.41,50,3.5,1,0
263,5.3,3,5.1,1.9,40,5.1,1.9,10,5.1,1.9,0,50,2.87,2.41,6.05,2.98,10,3,5.7,2.7,10,2.5,40,3,6.4,0,3,6.4,40,2.2,1,20
264,5.3,3,5.1,1.9,40,5.1,1.9,10,5.1,1.9,0,50,2.87,2.5,6.05,2.9,10,3,5.7,2.7,10,2.5,40,3,6.4,0,3,6.4,40,2.2,1,28
265,5.2,30,2.5,5.2,80,2.4,5.9,30,2.4,5.9,0,110,3,2.25,5.6,3.02,30,3,5.7,2.7,16,2.6,50,2.8,6.2,0,2.8,6.2,50,3.5,1,14.8
266,5.2,30,2.5,5.2,80,2.4,5.9,30,2.4,5.9,0,110,3,2.2,5.59,3.02,30,3,5.7,2.7,16,2.6,50,2.8,6.2,0,2.8,6.2,50,3.5,1,13
267,5.2,30,2.5,5.2,80,2.4,5.9,30,2.4,5.9,0,110,3,2.19,5.43,2.97,30,3,5.7,2.7,16,2.6,50,2.8,6.2,0,2.8,6.2,50,3.5,1,22.9
268,5.2,30,2.5,5.2,80,2.4,5.9,30,2.4,5.9,0,110,3,2.2,5.57,3.02,30,3,5.7,2.7,16,2.6,50,2.8,6.2,0,2.8,6.2,50,3.5,1,10.1
269,5.2,30,2.5,5.2,80,2.4,5.9,30,2.4,5.9,0,110,3,2.2,5.46,2.89,30,3,5.7,2.7,16,2.6,50,2.8,6.2,0,2.8,6.2,50,3.5,1,19.4
270,5.2,30,2.5,5.2,30,2.4,5.9,10,2.4,5.9,0,60,3,2.19,5.43,2.97,30,3,5.7,2.7,16,2.6,50,2.8,6.2,0,2.8,6.2,30,3.5,1,21.9
271,5.2,30,2.5,5.2,30,2.4,5.9,10,2.4,5.9,0,60,3,2.19,5.43,2.97,30,3,5.7,2.7,16,3.4,50,2.2,5.6,0,2.2,5.6,30,3.5,1,37.2
272,5.2,30,1.9,5.6,40,1.9,5.6,0,1.9,5.6,0,30,3.02,2.19,5.43,2.97,30,3,5.7,2.7,16,2.6,50,2.8,6.2,0,2.8,6.2,30,3.5,1,12.6
273,5.2,30,1.9,5.6,40,1.9,5.6,0,1.9,5.6,0,30,3.02,2.19,5.43,2.97,30,3,5.7,2.7,16,3.4,50,2.2,5.6,0,2.2,5.6,30,3.5,1,49.4
274,4.7,0,2.5,5.2,40,2.4,5.7,5,2.4,5.7,0,45,2.82,1.77,5.3,2.75,20,3,5.7,2.7,8,2.7,40,2.7,6.3,0,2.7,6.3,40,3.5,1,12.8
275,4.7,0,2.5,5.2,40,2.4,5.7,5,2.4,5.7,0,45,2.82,2.17,5.56,2.76,20,3,5.7,2.7,8,2.7,40,2.7,6.3,0,2.7,6.3,40,3.5,1,9.3
276,4.7,0,1.9,5.1,30,1.9,5.1,0,1.9,5.1,0,30,2.67,2.08,5.38,2.67,30,3,5.7,2.7,10,2.5,40,3,6.4,0,3,6.4,40,2.8,10,4.8
277,4.7,0,1.9,5.1,30,2,5.5,8,2,5.5,0,38,2.87,2.08,5.38,2.67,30,3,5.7,2.7,10,3.36,35,2.5,6.8,8,2.8,6.2,30,2.8,10,6.28
278,4.7,0,1.9,5.1,30,2,5.5,8,2,5.5,0,38,2.87,2.08,5.38,2.67,30,3,5.7,2.7,10,3.36,35,2.5,6.8,8,2.8,6.2,30,2.8,10,6.28
279,5.2,35,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.7,5.8,2.6,20,3,5.7,2.7,10,2.6,50,2.8,6.2,0,2.8,6.2,32,3.5,1,13.3
280,5.2,35,2,5.3,10,2,5.3,0,2,5.3,0,10,2.88,2.7,5.8,2.6,20,3,5.7,2.7,10,2.6,50,2.8,6.2,0,2.8,6.2,32,3.5,1,16
281,5.2,35,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.4,5.7,2.82,20,3,5.7,2.7,10,2.6,50,2.8,6.2,0,2.8,6.2,32,3.5,1,20.6
282,5.2,35,2,5.3,10,2,5.3,0,2,5.3,0,10,2.88,2.4,5.7,2.82,20,3,5.7,2.7,10,2.6,50,2.8,6.2,0,2.8,6.2,32,3.5,1,21.7
283,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,1.62,5.23,3.01,60,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,3
284,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,1.63,5.12,2.97,60,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,4
285,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.09,5.6,3.02,60,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,0.6
286,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.01,5.47,2.99,60,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,3
287,5.2,40,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2,5.5,2.87,60,3,5.7,2.7,10,2.75,35,2.73,6.68,0,2.73,6.68,35,3.5,1,2
288,5.3,1,2,5.5,50,2.4,5.9,10,2.4,5.9,0,60,3,2.24,5.8,3.03,20,2.7,5.48,2.66,12,2.95,50,3.32,6.67,0,3.32,6.67,50,3.5,0.5,53.6
289,5.3,1,2,5.5,50,2.4,5.9,10,2.4,5.9,0,60,3,2.24,5.8,3.03,20,2.7,5.48,2.66,12,2.95,50,3.32,6.67,0,3.32,6.67,50,3.5,0.5,47.2
290,5.3,1,2,5.5,40,2.4,5.9,10,2.4,5.9,0,50,3,2.5,6.6,2.8,20,2.39,5.33,2.54,12,2.95,50,3.32,6.67,0,3.32,6.67,50,3.5,1,18.07
291,5.3,1,2,5.5,40,2.4,5.9,10,2.4,5.9,0,50,3,2.5,6.6,2.8,20,2.31,5.32,2.54,12,2.95,50,3.32,6.67,0,3.32,6.67,50,3.5,1,12.79
292,9.5,30,2.5,5.2,10,2.4,5.7,10,2.4,5.7,0,20,2.82,2.4,5.9,3,20,2.5,5.98,2.56,10,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,1,7
293,9.5,30,2.5,5.2,10,2.4,5.7,10,2.4,5.7,0,20,2.82,2.4,5.9,3,20,2.82,6.12,2.67,10,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,1,5.9
294,9.5,30,2.5,5.2,10,2.4,5.7,10,2.4,5.7,0,20,2.82,2.4,5.9,3,20,2.89,6.17,2.6,10,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,1,2
295,5.9,1,2.26,5.7,40,2.26,5.7,0,2.26,5.7,0,40,2.71,2.26,5.7,2.93,30,3.02,5.8,2.75,10,3.36,35,2.5,6.8,0,2.5,6.8,35,4.28,0,38.1
296,9.5,10,2,5.5,45,2,5.5,0,2,5.5,0,45,2.87,2.55,5.9,2.9,20,2.2,4.8,2.62,12,2.75,45,2.73,6.68,0,2.73,6.68,45,2.8,2,60.3
297,9.5,10,2,5.5,45,2,5.5,0,2,5.5,0,45,2.87,2.4,5.9,3,20,2.2,4.8,2.62,12,2.75,45,2.73,6.68,0,2.73,6.68,45,2.8,2,49.8
298,9.5,6,2,5.5,40,2.4,5.7,10,2.4,5.7,0,50,2.82,2.51,5.92,2.71,25,2.21,5.21,2.77,30,2.6,30,2.8,6.2,0,2.8,6.2,30,3.5,1.2,1.72
299,9.5,6,2,5.5,40,2.4,5.7,10,2.4,5.7,0,50,2.82,2.49,5.53,2.08,25,2.21,5.21,2.77,30,2.6,30,2.8,6.2,0,2.8,6.2,30,3.5,1.2,1.9
300,9.5,6,2,5.5,40,2.4,5.7,10,2.4,5.7,0,50,2,2.5,6.6,2.8,25,2.21,5.21,2.77,30,2.6,30,2.8,6.2,0,2.8,6.2,30,3.5,1.2,4.58
301,5.3,3,2,5.5,50,2.4,5.7,5,2.4,5.7,0,55,2.82,2.6,6.1,2.71,15,2.95,5.96,2.64,10,2.75,50,2.73,6.68,0,2.73,6.68,50,3.5,1,48.79
302,5.3,3,2,5.5,50,2,5.5,0,2,5.5,0,50,2.87,2.6,6.1,2.71,15,2.95,5.96,2.64,10,2.75,50,2.73,6.68,0,2.73,6.68,50,3.5,1,48.06
303,5.3,3,2,5.5,50,2,5.5,0,2,5.5,0,50,2.87,2.6,6.1,2.71,15,3,5.95,2.64,8,2.75,50,2.73,6.68,0,2.73,6.68,50,3.5,1,48.01
304,5.3,3,2,5.5,50,2,5.5,0,2,5.5,0,50,2.87,2.6,6.1,2.71,15,3,5.95,2.64,12,2.75,50,2.73,6.68,0,2.73,6.68,50,3.5,1,47.08
305,5.3,3,2,5.5,50,2,5.5,0,2,5.5,0,50,2.87,2.6,6.1,2.71,15,3,5.95,2.64,10,2.75,50,2.73,6.68,0,2.73,6.68,50,3.5,1,46.81
306,5.3,3,2,5.5,50,2,5.5,0,2,5.5,0,50,2.87,2.6,6.1,2.71,15,3,5.95,2.64,8,2.75,50,2.73,6.68,0,2.73,6.68,50,3.5,1,46.09
307,5.3,3,2,5.5,50,2,5.5,0,2,5.5,0,50,2.87,2.6,6.1,2.71,15,3,5.95,2.64,12,2.75,50,2.73,6.68,0,2.73,6.68,50,3.5,1,45.38
308,5.3,3,2,5.5,50,2.4,5.7,5,2.4,5.7,0,55,2.82,2.6,6.1,2.71,15,3,5.95,2.64,10,2.75,50,2.73,6.68,0,2.73,6.68,50,3.5,1,43.32
309,9.5,10,2,5.5,45,2,5.5,0,2,5.5,0,45,2.87,2.12,5.57,2.8,20,2.2,4.8,2.62,15,2.75,40,2.73,6.68,0,2.73,6.68,40,2.8,2,54.1
310,9.5,10,2,5.5,40,2,5.5,0,2,5.5,0,40,2.87,2.4,6.1,2.8,15,2.96,5.53,2.7,10,2.69,55,2.6,6.8,0,2.6,6.8,55,3.5,0.5,36.3
311,9.5,10,2,5.5,40,2,5.5,0,2,5.5,0,40,2.87,2.4,6.1,2.8,15,2.96,5.53,2.7,10,2.69,55,2.6,6.8,0,2.6,6.8,55,3.5,0.5,34
312,5.2,45,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.26,5.28,2.8,40,2.26,5.28,2.66,0,2.7,65,2.91,6.56,0,2.91,6.56,65,3.5,0.5,15.1
313,5.2,45,3.3,5.2,0,3.3,5.2,0,3.3,5.2,0,0,0,2.26,5.28,2.8,40,2.26,5.28,2.66,0,2.7,65,2.91,6.56,0,2.91,6.56,65,3.5,0.5,21.2
